Car,Date,Mileage,Gallons,Cost,Gas Station,Zip code,Missed Last Fill,MPF,MPG
Tiger,04/10/2023,33386,10.751,32.24,Costco,77055,0,298,25.40
Tiger,04/18/2023,33699,11.518,38.00,Exxon,77007,0,313,29.11
Tiger,04/23/2023,33921,7.994,26.13,Kroger,77008,0,222,19.27
Tiger,05/17/2023,34556,11.211,36.99,Shell,77007,1,#N/A,#N/A
Tiger,05/27/2023,34844,10.763,34.00,Exxon,77082,0,288,25.69
Tiger,06/07/2023,35143,11.39,32.45,Costco,77055,0,299,27.78
Tiger,06/26/2023,35434,11.437,32.93,Costco,77055,0,291,25.55
Tiger,07/11/2023,35721,11.445,34.32,Kroger,77008,0,287,25.09
Tiger,07/27/2023,35996,11.441,35.46,Exxon,77084,0,275,24.03
Tiger,08/14/2023,36275,11.268,39.43,Shell,77007,0,279,24.39
Tiger,08/27/2023,36537,10.86,38.00,Exxon,77338,0,262,23.25
Tiger,09/07/2023,36826,11.075,34.32,Costco,77055,0,289,26.61
Tiger,09/20/2023,37123,11,34.09,Costco,77494,0,297,26.82
Tiger,10/05/2023,37400,11.001,32.88,Costco,77055,0,277,25.18
Tiger,10/17/2023,37681,11.22,30.96,Costco,77027,0,281,25.54
Tiger,10/25/2023,37947,10.459,33.46,Shell,77007,0,266,23.71
Tiger,11/09/2023,38217,11.837,35.50,Exxon,77007,0,270,25.82
Tiger,11/15/2023,38537,11.225,29.63,7/11,77477,0,320,27.03
